,wifes_edu,husbands_edu,n_children,wifes_rel,wifes_working,husbands_occ,sol,media,Y
0,2,3,3,1,1,2,3,0,2
5,4,4,0,1,1,3,3,0,2
7,3,3,1,1,0,3,2,0,2
8,2,3,3,1,1,3,4,0,2
15,2,4,0,1,1,4,1,0,2
20,3,4,1,1,0,4,1,0,2
21,3,4,0,1,0,3,1,0,2
27,4,4,0,1,0,1,4,0,2
28,4,4,0,1,0,2,2,0,2
30,3,4,2,1,1,1,4,0,2
31,4,4,2,1,1,3,2,0,2
32,2,4,0,1,0,1,2,0,2
34,2,3,1,1,1,3,3,0,2
37,3,3,4,1,1,3,2,0,2
39,2,2,1,1,1,2,4,0,2
40,1,1,3,1,1,3,1,0,2
44,2,2,1,1,1,3,2,0,2
45,1,4,1,1,1,2,1,0,2
48,4,4,1,1,1,1,4,0,2
49,4,4,0,1,0,1,4,0,2
50,4,4,0,1,0,1,4,0,2
55,2,2,2,1,1,2,2,1,2
58,2,3,0,1,1,3,4,0,2
61,2,3,1,1,1,2,3,0,2
63,2,3,1,1,1,2,1,0,2
64,2,4,1,1,0,1,3,0,2
65,2,4,1,1,1,3,1,0,2
67,2,3,3,1,1,3,1,0,2
68,3,4,2,1,1,3,4,0,2
69,4,4,1,1,0,3,3,0,2
72,2,3,1,1,1,1,1,0,2
73,2,3,1,1,1,1,2,0,2
74,3,4,0,1,1,2,3,0,2
75,3,4,1,1,1,2,3,0,2
76,4,4,0,1,0,2,4,0,2
80,4,4,0,0,1,1,4,0,2
82,2,4,1,1,0,4,4,0,2
83,4,4,0,0,0,1,4,0,2
84,4,4,2,1,1,1,4,0,2
86,4,4,1,1,1,1,3,0,2
88,2,4,4,1,1,1,4,0,2
89,2,2,3,1,0,2,1,0,2
90,2,3,0,1,1,2,1,0,2
92,2,2,3,1,1,2,1,0,2
97,4,4,5,1,1,2,1,0,2
98,2,2,3,1,1,3,1,0,2
99,2,3,5,1,1,2,1,0,2
100,1,2,4,1,1,3,1,1,2
101,2,3,0,1,0,2,2,0,2
102,2,4,3,1,0,3,2,0,2
103,4,3,4,1,1,2,3,0,2
104,2,4,2,1,1,3,3,0,2
106,4,4,0,1,1,1,1,0,2
108,2,3,2,1,1,3,1,0,2
109,2,3,3,1,1,3,1,0,2
112,4,4,1,1,1,1,4,0,2
113,2,2,4,1,1,3,3,0,2
114,3,4,0,1,1,1,3,0,2
119,2,3,2,1,1,3,3,0,2
122,3,4,2,1,1,3,3,0,2
123,2,3,1,0,1,3,2,0,2
125,3,4,2,1,1,1,2,1,2
129,3,4,0,1,1,1,3,0,2
131,4,4,0,0,0,1,3,0,2
133,3,4,1,1,1,3,1,1,2
134,4,4,1,1,1,1,3,0,2
135,3,3,3,1,0,2,4,0,2
136,4,4,2,1,1,3,3,0,2
137,3,3,2,1,1,2,2,0,2
138,4,4,2,0,1,3,1,0,2
139,4,4,1,1,1,1,4,0,2
141,4,4,0,0,0,3,3,0,2
144,2,4,2,1,1,3,4,0,2
151,1,3,4,1,1,3,2,0,2
153,4,4,2,1,1,2,4,0,2
159,2,2,2,1,1,3,1,0,2
160,1,1,3,1,1,2,1,1,2
161,4,4,0,1,0,1,4,0,2
167,4,4,1,1,1,1,4,0,2
168,4,4,0,1,1,2,4,0,2
169,3,4,0,1,0,2,4,0,2
172,2,4,1,1,1,2,4,0,2
173,3,3,2,1,1,3,4,0,2
174,3,2,2,1,1,3,2,0,2
176,4,4,0,0,1,1,3,0,2
177,2,4,4,1,0,1,4,0,2
181,2,4,1,1,1,2,2,0,2
186,2,4,0,1,1,3,2,0,2
188,3,3,2,1,1,3,2,0,2
189,3,2,3,1,1,3,2,0,2
190,1,2,4,1,1,4,1,0,2
191,3,4,3,1,0,3,2,0,2
193,3,3,2,1,1,3,3,0,2
194,3,4,0,1,0,3,1,0,2
196,2,2,3,1,0,3,1,0,2
198,1,1,5,1,1,2,2,0,2
201,2,4,0,1,1,3,3,0,2
203,2,3,2,1,1,3,3,0,2
205,2,3,2,1,1,3,1,0,2
206,2,4,0,1,1,3,1,0,2
207,3,4,0,1,0,2,3,0,2
212,3,4,3,1,1,3,2,0,2
215,3,4,2,1,0,2,2,0,2
219,3,3,2,1,0,2,3,0,2
220,2,3,1,1,1,3,3,0,2
221,3,4,0,1,1,3,3,0,2
223,1,2,0,1,1,2,4,0,2
229,3,4,0,1,1,3,2,0,2
231,2,4,1,1,1,1,3,0,2
232,3,4,0,1,0,3,1,0,2
233,2,3,1,1,1,2,4,0,2
235,2,3,1,1,0,3,4,0,2
237,4,4,1,1,1,3,3,0,2
239,3,3,1,1,1,2,3,0,2
240,3,4,1,1,1,2,3,0,2
243,4,4,2,1,1,1,3,0,2
247,4,4,2,1,1,1,4,0,2
248,4,4,1,1,1,1,2,0,2
252,3,3,1,1,1,3,2,0,2
253,4,4,1,1,0,1,4,0,2
262,3,3,3,1,0,2,4,0,2
263,3,3,0,1,1,2,2,0,2
264,2,4,5,1,1,3,2,0,2
265,4,4,0,1,1,1,3,0,2
270,4,4,2,1,1,1,4,0,2
271,3,4,1,1,1,3,4,0,2
272,3,4,1,1,1,2,1,0,2
274,3,4,2,1,0,2,3,0,2
281,2,4,2,1,1,3,1,0,2
282,4,4,0,1,1,1,4,0,2
284,2,4,2,1,0,4,4,1,2
286,4,4,0,1,0,1,4,0,2
287,2,4,4,1,1,3,3,0,2
288,2,1,0,1,1,3,2,0,2
290,4,4,1,1,1,2,2,0,2
294,4,4,1,1,1,1,3,0,2
298,4,4,3,0,1,1,4,0,2
299,4,4,1,1,1,1,4,0,2
300,1,2,7,1,1,2,4,0,2
301,4,2,0,1,0,2,2,0,2
302,3,3,1,1,1,3,4,0,2
303,2,4,2,1,1,3,4,0,2
304,4,4,1,1,0,2,4,0,2
305,4,4,2,1,0,3,3,0,2
308,3,3,0,1,1,2,2,0,2
309,3,4,2,1,1,2,3,0,2
312,1,4,2,1,0,3,3,1,2
316,1,4,2,1,0,2,3,0,2
317,3,3,5,1,0,3,4,0,2
318,3,4,1,1,1,3,3,0,2
323,1,3,0,1,0,3,4,1,2
324,4,4,1,0,1,1,3,0,2
325,4,4,1,0,1,2,3,0,2
332,1,2,1,1,0,3,4,0,2
334,4,4,1,0,1,3,4,0,2
335,2,2,8,1,1,2,2,1,2
337,4,4,3,1,0,2,4,0,2
338,4,4,0,1,0,2,4,0,2
339,3,4,3,1,1,2,1,0,2
340,2,3,4,1,0,3,2,0,2
342,4,4,0,0,1,2,4,0,2
344,4,4,1,1,1,3,3,0,2
345,4,4,1,0,1,2,4,0,2
348,2,2,3,1,1,3,3,0,2
349,3,3,1,1,1,3,1,0,2
350,2,2,2,1,1,3,1,0,2
352,2,2,2,1,1,3,1,1,2
355,2,2,1,1,0,3,2,1,2
356,2,4,2,1,1,1,4,0,2
357,2,4,4,1,1,3,4,0,2
359,2,3,0,1,1,2,4,0,2
360,3,4,1,1,1,3,1,0,2
363,2,3,2,1,0,2,4,0,2
364,3,2,0,1,1,2,2,0,2
365,2,3,3,1,1,3,4,0,2
367,4,4,1,1,1,2,3,0,2
369,3,3,6,1,1,3,3,0,2
372,2,3,1,1,1,3,2,0,2
375,3,3,2,1,1,2,2,0,2
378,2,3,1,1,1,2,3,0,2
383,2,3,1,1,0,2,1,0,2
387,4,4,0,0,1,3,4,0,2
388,2,4,1,1,0,3,4,0,2
389,2,3,1,1,1,3,4,0,2
393,3,3,0,1,1,3,4,0,2
