,AD-D_220.0_W50_0.6.log,AD-D_220.0_W50_0.7.log,AD-D_220.0_W50_0.8.log,AQ-T_1000.0_W50_0.6.log,AQ-T_200.0_W50_0.6.log,AQ-T_500.0_W50_0.6.log,AQ-T_500.0_W50_0.7.log,AQ-T_500.0_W50_0.8.log,AS-T_1000.0_W100_0.6.log,AS-T_1000.0_W50_0.6.log,AS-T_1000.0_W75_0.6.log,AS-T_500.0_W50_0.6.log,AS-T_500.0_W50_0.7.log,AS-T_500.0_W50_0.8.log,CMC_716_175.0_W50_0.6.log,CMC_716_175.0_W50_0.7.log,CMC_716_175.0_W50_0.8.log,HW_200_100.0_W50_0.6.log,HW_200_100.0_W50_0.7.log,HW_200_100.0_W50_0.8.log,Wine_300.0_W50_0.6.log,Wine_300.0_W50_0.7.log,Wine_300.0_W50_0.8.log
num_classifier,6,14,92,20,61,109,112,201,39,18,42,29,55,99,1,9,6,0.8899312562989035\r\n',7,32,19,19,48
kappa,0.940706621,0.920741,0.933824665,0.619708995,0.520693403,0.632060538,0.620080034,0.614359115,0.694767827,0.690756021,0.696754684,0.632774801,0.703954798,0.654932769,0.47825064,0.53243253,0.486806613,224.6077559,0.891848538,0.946463563,0.650775739,0.484357687,0.490385171
time,250.0162324,427.7469506,1485.71317,933.5613364,2013.711799,3522.915452,3584.186921,8785.986811,1038.862122,918.1491618,1101.167729,1126.059913,1828.905572,3769.170127,39.5855192,136.6685092,104.6911097,2,299.7795764,787.7313932,210.1402481,320.3460416,535.9721575
num_classifier,30,35,74,26,62,83,190,143,36,18,45,24,53,86,1,7,6,2,10,9,18,19,37
kappa,0.924585988,0.90985834,0.923448008,0.512269447,0.482205547,0.569923266,0.696906191,0.653514286,0.694000486,0.688699257,0.688421353,0.609954306,0.652915976,0.714816545,0.469149662,0.554930378,0.497376249,0.891429349,0.912310269,0.93688829,0.49865801,0.381197979,0.42381631
time,388.3364494,593.0679235,1104.327293,1087.663125,2031.093028,3002.489012,7508.304932,4800.656778,997.9392824,920.4779775,1307.605989,1050.878759,2103.716873,3274.454956,40.9648949,82.0912485,99.2123491,220.5343092,347.79631,460.6142469,229.9284232,310.9010883,505.4864996
num_classifier,23,13,107,19,70,89,191,221,49,37,42,43,49,94,1,7,6,2,7,7,19,19,55
kappa,0.923739855,0.918352808,0.952783681,0.573237971,0.527237953,0.622293274,0.706133126,0.653920447,0.709761339,0.665967785,0.645056535,0.7241029,0.713326847,0.679669057,0.468254,0.517095908,0.502911416,0.886936545,0.890349872,0.932026916,0.600080815,0.43668715,0.446298276
time,355.9373301,444.3443016,2342.645213,935.2850743,2753.984053,2959.983827,8218.396552,10693.40751,1138.655866,1271.161984,1236.922376,1326.517785,1603.145817,3735.282942,40.7483095,84.6754246,102.3302446,223.5766562,303.1016832,512.3396521,221.9662692,299.7356683,635.3761433
,,,,,,,,,,,,,,,,,,,,,,,
sd_classifier,12.34233905,12.42309677,16.52271164,3.785938897,4.932882862,13.61371857,45.32475409,40.51337228,6.806859286,10.96965511,1.732050808,9.848857802,3.055050463,6.557438524,0,1.154700538,0,0,1.732050808,13.89244399,0.577350269,0,9.073771726
sd_kappa,0.009560874,0.005719728,0.014875601,0.053882547,0.024331269,0.033414213,0.047244981,0.022724405,0.008886307,0.013756251,0.027756832,0.060403501,0.032512228,0.030092348,0.005531167,0.019029855,0.008182502,129.1639783,0.012269118,0.00734547,0.077455755,0.051629213,0.033863713
sd_time,72.34346815,91.03590121,634.1948945,88.47730675,422.468253,313.4598284,2495.957771,3006.815046,72.38165853,203.1431139,104.9144514,142.4853426,250.6857597,276.3614403,0.741807235,30.79133048,2.748083395,127.0581984,26.81496089,175.8416693,9.956761063,10.31714781,67.92378973
